"id","residentId","alphaChore","betaChore","preference"
2450,"U0A08LXH1CZ","Clean Countertop (U)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.9307692"
2451,"U0A08LXH1CZ","Clean Countertop (U)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.9307692"
2452,"U0A08LXH1CZ","Clean Countertop (U)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.9307692"
2453,"U0A08LXH1CZ","Clean Countertop (U)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.9307692"
2454,"U0A08LXH1CZ","Clean Countertop (U)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.9307692"
2455,"U0A08LXH1CZ","Clean Countertop (U)","Pay Rent By 28Th Of Month (Andrew)","0.9307692"
2456,"U0A08LXH1CZ","Clean Countertop (U)","Pay Rent By 28Th Of Month (Beacon)","0.9307692"
2457,"U0A08LXH1CZ","Clean Countertop (U)","Pay Rent By 28Th Of Month (Bill)","0.9307692"
2458,"U0A08LXH1CZ","Clean Countertop (U)","Pay Rent By 28Th Of Month (Megan)","0.9307692"
2459,"U0A08LXH1CZ","Clean Countertop (U)","Pay Rent By 28Th Of Month (Savannah)","0.9307692"
2447,"U0A08LXH1CZ","Clean Countertop (U)","Put Out Trash Bins On Curb (All)","0.8832117"
1574,"U0A08LXH1CZ","Clean Countertop (U)","Refill Ballroom Fountain (All)","0.77070063"
1577,"U0A08LXH1CZ","Clean Countertop (U)","Refill Small Living Room Fountain (U)","0.8832117"
1575,"U0A08LXH1CZ","Clean Countertop (U)","Run Bonozoomy (U)","0.8832117"
2441,"U0A08LXH1CZ","Clean Countertop (U)","Take Out The Trash (U)","0.65405405"
1573,"U0A08LXH1CZ","Clean Countertop (U)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.8832117"
1578,"U0A08LXH1CZ","Clean Countertop (U)","Water Indoor Plants (U)","0.13370165"
2296,"U0A08LXH1CZ","Clean Stove (U)","Beacon's Chore App Management (U)","0.22477064"
1591,"U0A08LXH1CZ","Clean Stove (U)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.8448276"
1597,"U0A08LXH1CZ","Clean Stove (U)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.5764706"
2269,"U0A08LXH1CZ","Clean Stove (U)","Megan's Chore App Management (U)","0.22477064"
2407,"U0A08LXH1CZ","Clean Stove (U)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.95609754"
2408,"U0A08LXH1CZ","Clean Stove (U)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.95609754"
2409,"U0A08LXH1CZ","Clean Stove (U)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.95609754"
2410,"U0A08LXH1CZ","Clean Stove (U)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.95609754"
2411,"U0A08LXH1CZ","Clean Stove (U)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.95609754"
2412,"U0A08LXH1CZ","Clean Stove (U)","Pay Rent By 28Th Of Month (Andrew)","0.95609754"
2413,"U0A08LXH1CZ","Clean Stove (U)","Pay Rent By 28Th Of Month (Beacon)","0.95609754"
2414,"U0A08LXH1CZ","Clean Stove (U)","Pay Rent By 28Th Of Month (Bill)","0.95609754"
2415,"U0A08LXH1CZ","Clean Stove (U)","Pay Rent By 28Th Of Month (Megan)","0.95609754"
2416,"U0A08LXH1CZ","Clean Stove (U)","Pay Rent By 28Th Of Month (Savannah)","0.95609754"
2404,"U0A08LXH1CZ","Clean Stove (U)","Put Out Trash Bins On Curb (All)","0.9245283"
1596,"U0A08LXH1CZ","Clean Stove (U)","Refill Ballroom Fountain (All)","0.8448276"
1590,"U0A08LXH1CZ","Clean Stove (U)","Refill Small Living Room Fountain (U)","0.9245283"
1592,"U0A08LXH1CZ","Clean Stove (U)","Run Bonozoomy (U)","0.9245283"
2398,"U0A08LXH1CZ","Clean Stove (U)","Take Out The Trash (U)","0.75384617"
1598,"U0A08LXH1CZ","Clean Stove (U)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.9245283"
1594,"U0A08LXH1CZ","Clean Stove (U)","Water Indoor Plants (U)","0.2"
2301,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Beacon's Chore App Management (U)","0.050561797"
1748,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.2"
2274,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Megan's Chore App Management (U)","0.050561797"
2507,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.8"
2508,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.8"
2509,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.8"
2510,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.8"
2511,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.8"
2512,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Rent By 28Th Of Month (Andrew)","0.8"
2513,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Rent By 28Th Of Month (Beacon)","0.8"
2514,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Rent By 28Th Of Month (Bill)","0.8"
2515,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Rent By 28Th Of Month (Megan)","0.8"
2516,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Pay Rent By 28Th Of Month (Savannah)","0.8"
2504,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Put Out Trash Bins On Curb (All)","0.6923077"
1749,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Refill Ballroom Fountain (All)","0.5"
1752,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Refill Small Living Room Fountain (U)","0.6923077"
1751,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Run Bonozoomy (U)","0.6923077"
2481,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Take Out The Trash (U)","0.36"
1747,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.6923077"
1746,"U0A08LXH1CZ","Collect And Recycle Plastic Bags At Grocery Store (All)","Water Indoor Plants (U)","0.043902438"
2297,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Beacon's Chore App Management (U)","0.17560975"
2270,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Megan's Chore App Management (U)","0.17560975"
2429,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.9411765"
2430,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.9411765"
2431,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.9411765"
2432,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.9411765"
2433,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.9411765"
2434,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Rent By 28Th Of Month (Andrew)","0.9411765"
2435,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Rent By 28Th Of Month (Beacon)","0.9411765"
2436,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Rent By 28Th Of Month (Bill)","0.9411765"
2437,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Rent By 28Th Of Month (Megan)","0.9411765"
2438,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Pay Rent By 28Th Of Month (Savannah)","0.9411765"
2426,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Put Out Trash Bins On Curb (All)","0.9"
2420,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Take Out The Trash (U)","0.6923077"
1874,"U0A08LXH1CZ","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.9"
2303,"U0A08LXH1CZ","Empty Bonoloomy (U)","Beacon's Chore App Management (U)","0.050561797"
1290,"U0A08LXH1CZ","Empty Bonoloomy (U)","Bring Trash Bins In From Curb (All)","0.6923077"
1292,"U0A08LXH1CZ","Empty Bonoloomy (U)","Check/Rebalance Hot Tub (All)","0.30769232"
1294,"U0A08LXH1CZ","Empty Bonoloomy (U)","Clean Countertop (U)","0.22929937"
1295,"U0A08LXH1CZ","Empty Bonoloomy (U)","Clean Stove (U)","0.15517241"
1301,"U0A08LXH1CZ","Empty Bonoloomy (U)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.5"
1307,"U0A08LXH1CZ","Empty Bonoloomy (U)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.2"
2276,"U0A08LXH1CZ","Empty Bonoloomy (U)","Megan's Chore App Management (U)","0.050561797"
2540,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.8"
2541,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.8"
2542,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.8"
2543,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.8"
2544,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.8"
2545,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Rent By 28Th Of Month (Andrew)","0.8"
2546,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Rent By 28Th Of Month (Beacon)","0.8"
2547,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Rent By 28Th Of Month (Bill)","0.8"
2548,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Rent By 28Th Of Month (Megan)","0.8"
2549,"U0A08LXH1CZ","Empty Bonoloomy (U)","Pay Rent By 28Th Of Month (Savannah)","0.8"
2537,"U0A08LXH1CZ","Empty Bonoloomy (U)","Put Out Trash Bins On Curb (All)","0.6923077"
1306,"U0A08LXH1CZ","Empty Bonoloomy (U)","Refill Ballroom Fountain (All)","0.5"
1302,"U0A08LXH1CZ","Empty Bonoloomy (U)","Refill Small Living Room Fountain (U)","0.6923077"
1303,"U0A08LXH1CZ","Empty Bonoloomy (U)","Run Bonozoomy (U)","0.6923077"
1291,"U0A08LXH1CZ","Empty Bonoloomy (U)","Spread Compost On Fruit Trees (All)","0.5"
2483,"U0A08LXH1CZ","Empty Bonoloomy (U)","Take Out The Trash (U)","0.36"
1308,"U0A08LXH1CZ","Empty Bonoloomy (U)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.6923077"
1293,"U0A08LXH1CZ","Empty Bonoloomy (U)","Water Air Plants (U)","0.063716814"
1304,"U0A08LXH1CZ","Empty Bonoloomy (U)","Water Indoor Plants (U)","0.043902438"
1288,"U0A08LXH1CZ","Empty Bonoloomy (U)","Water Outdoor Plants (All)","0.043902438"
2115,"U0A08LXH1CZ","General Tidying (U)","Beacon's Chore App Management (U)","0.5870495"
1150,"U0A08LXH1CZ","General Tidying (U)","Bring Trash Bins In From Curb (All)","0.9836233"
1152,"U0A08LXH1CZ","General Tidying (U)","Check/Rebalance Hot Tub (All)","0.9222649"
1156,"U0A08LXH1CZ","General Tidying (U)","Clean Countertop (U)","0.88817006"
1154,"U0A08LXH1CZ","General Tidying (U)","Clean Stove (U)","0.8305964"
1163,"U0A08LXH1CZ","General Tidying (U)","Collect And Recycle Plastic Bags At Grocery Store (All)","0.9638917"
1147,"U0A08LXH1CZ","General Tidying (U)","Cut Out Dead Growth From Indoor Plants/Hang Vines (U)","0.86968327"
1148,"U0A08LXH1CZ","General Tidying (U)","Empty Bonoloomy (U)","0.9638917"
1141,"U0A08LXH1CZ","General Tidying (U)","Load Dishwasher/Handwash Dirty Dishes (U)","0.5"
2114,"U0A08LXH1CZ","General Tidying (U)","Megan's Chore App Management (U)","0.5870495"
2132,"U0A08LXH1CZ","General Tidying (U)","Pay Bills Within 24 Hours Of Megans Message (Andrew)","0.99072164"
2133,"U0A08LXH1CZ","General Tidying (U)","Pay Bills Within 24 Hours Of Megans Message (Beacon)","0.99072164"
2134,"U0A08LXH1CZ","General Tidying (U)","Pay Bills Within 24 Hours Of Megans Message (Bill)","0.99072164"
2135,"U0A08LXH1CZ","General Tidying (U)","Pay Bills Within 24 Hours Of Megans Message (Megan)","0.99072164"
2136,"U0A08LXH1CZ","General Tidying (U)","Pay Bills Within 24 Hours Of Megans Message (Savannah)","0.99072164"
2137,"U0A08LXH1CZ","General Tidying (U)","Pay Rent By 28Th Of Month (Andrew)","0.99072164"
2138,"U0A08LXH1CZ","General Tidying (U)","Pay Rent By 28Th Of Month (Beacon)","0.99072164"
2139,"U0A08LXH1CZ","General Tidying (U)","Pay Rent By 28Th Of Month (Bill)","0.99072164"
2140,"U0A08LXH1CZ","General Tidying (U)","Pay Rent By 28Th Of Month (Megan)","0.99072164"
2141,"U0A08LXH1CZ","General Tidying (U)","Pay Rent By 28Th Of Month (Savannah)","0.99072164"
1140,"U0A08LXH1CZ","General Tidying (U)","Put Away Clean Dishes From Dish Rack (U)","0.5"
2129,"U0A08LXH1CZ","General Tidying (U)","Put Out Trash Bins On Curb (All)","0.9836233"
1143,"U0A08LXH1CZ","General Tidying (U)","Refill Ballroom Fountain (All)","0.9638917"
1159,"U0A08LXH1CZ","General Tidying (U)","Refill Small Living Room Fountain (U)","0.9836233"
1160,"U0A08LXH1CZ","General Tidying (U)","Run Bonozoomy (U)","0.9836233"
1151,"U0A08LXH1CZ","General Tidying (U)","Spread Compost On Fruit Trees (All)","0.9638917"
2123,"U0A08LXH1CZ","General Tidying (U)","Take Out The Trash (U)","0.937561"
1139,"U0A08LXH1CZ","General Tidying (U)","Unload Dishwasher (U)","0.6449664"
1136,"U0A08LXH1CZ","General Tidying (U)","Wash Hand Towels In Kitchen And Bathrooms (U)","0.9836233"
